ElapsedTime,GravityX,GravityY,GravityZ,LinearX,LinearY,LinearZ
0.7947397,2.640575,8.646057,3.800455,-0.5761645,-1.046082,0.3142257
0.8115979,2.640575,8.646057,3.800455,-0.5761645,-1.046082,0.3142257
0.8286545,2.640575,8.646057,3.800455,-0.5761645,-1.046082,0.3142257
0.845714,2.640575,8.646057,3.800455,-0.5761645,-1.046082,0.3142257
0.864292,2.640575,8.646057,3.800455,-0.5761645,-1.046082,0.3142257
0.8816783,2.640575,8.646057,3.800455,-0.5761645,-1.046082,0.3142257
0.8979918,2.640575,8.646057,3.800455,-0.5761645,-1.046082,0.3142257
0.9290624,2.640575,8.646057,3.800455,-0.5761645,-1.046082,0.3142257
0.9466375,2.331185,8.638473,4.014071,0.199122,0.408102,0.2989919
0.9627609,2.331185,8.638473,4.014071,0.199122,0.408102,0.2989919
0.9881655,2.331185,8.638473,4.014071,0.199122,0.408102,0.2989919
1.005032,2.331185,8.638473,4.014071,0.199122,0.408102,0.2989919
1.022291,2.331185,8.638473,4.014071,0.199122,0.408102,0.2989919
1.039383,2.331185,8.638473,4.014071,0.199122,0.408102,0.2989919
1.056569,2.331185,8.638473,4.014071,0.199122,0.408102,0.2989919
1.073083,2.331185,8.638473,4.014071,0.199122,0.408102,0.2989919
1.089933,2.331185,8.638473,4.014071,0.199122,0.408102,0.2989919
1.106782,2.331185,8.638473,4.014071,0.199122,0.408102,0.2989919
1.12363,2.331185,8.638473,4.014071,0.199122,0.408102,0.2989919
1.140538,2.331185,8.638473,4.014071,0.199122,0.408102,0.2989919
1.157689,2.331185,8.638473,4.014071,0.199122,0.408102,0.2989919
1.174518,2.331185,8.638473,4.014071,0.199122,0.408102,0.2989919
1.191505,2.331185,8.638473,4.014071,0.199122,0.408102,0.2989919
1.20857,2.331185,8.638473,4.014071,0.199122,0.408102,0.2989919
1.224737,2.331185,8.638473,4.014071,0.199122,0.408102,0.2989919
1.241697,2.331185,8.638473,4.014071,0.199122,0.408102,0.2989919
1.25887,2.331185,8.638473,4.014071,0.199122,0.408102,0.2989919
1.275879,2.331185,8.638473,4.014071,0.199122,0.408102,0.2989919
1.292123,2.331185,8.638473,4.014071,0.199122,0.408102,0.2989919
1.308972,2.331185,8.638473,4.014071,0.199122,0.408102,0.2989919
1.325863,2.331185,8.638473,4.014071,0.199122,0.408102,0.2989919
1.342841,2.331185,8.638473,4.014071,0.199122,0.408102,0.2989919
1.359849,2.331185,8.638473,4.014071,0.199122,0.408102,0.2989919
