ElapsedTime,Class1,Class2,Class3,BestClass
6.521055,0,0,0,0
6.537035,0,0,0,0
6.553343,0,0,0,0
6.570039,0,0,0,0
6.58648,0,0,0,0
6.603162,0,0,0,0
6.620336,0,0,0,0
6.636176,0,0,0,0
6.652742,0,0,0,0
6.669309,0,0,0,0
6.686248,0,0,0,0
6.702441,0,0,0,0
6.719008,0,0,0,0
6.735574,0,0,0,0
6.752283,0,0,0,0
6.769298,0,0,0,0
6.785317,0,0,0,0
6.801841,0,0,0,0
6.818408,0,0,0,0
6.83531,0,0,0,0
6.851541,0,0,0,0
6.868298,0,0,0,0
6.884676,0,0,0,0
6.9013,0,0,0,0
6.917808,0,0,0,0
6.934375,0,0,0,0
6.951338,0,0,0,0
6.96751,0,0,0,0
6.984343,0,0,0,0
7.000641,0,0,0,0
7.017272,0,0,0,0
7.033775,0,0,0,0
7.050356,0,0,0,0
7.067376,0,0,0,0
7.083475,0,0,0,0
7.100041,0,0,0,0
7.117404,0,0,0,0
7.133344,0,0,0,0
7.150331,0,0,0,0
7.166323,0,0,0,0
7.182875,0,0,0,0
7.199442,0,0,0,0
7.216392,0,0,0,0
7.232575,0,0,0,0
7.24932,0,0,0,0
7.265709,0,0,0,0
7.28235,0,0,0,0
7.298842,0,0,0,0
7.31541,0,0,0,0
7.332411,0,0,0,0
7.348542,0,0,0,0
7.365462,0,0,0,0
7.381672,0,0,0,0
7.398492,0,0,0,0
7.41543,0,0,0,0
7.431496,0,0,0,0
7.447941,0,0,0,0
7.46451,0,0,0,0
7.481085,0,0,0,0
7.497642,0,0,0,0
7.514502,0,0,0,0
7.531638,0,0,0,0
7.547599,0,0,0,0
7.564624,0,0,0,0
7.580659,0,0,0,0
7.597042,0,0,0,0
7.613609,0,0,0,0
7.630582,0,0,0,0
7.646742,0,0,0,0
7.663587,0,0,0,0
7.680582,0,0,0,0
7.696442,0,0,0,0
7.713008,0,0,0,0
7.729605,0,0,0,0
7.746141,0,0,0,0
7.762708,0,0,0,0
7.779613,0,0,0,0
7.795841,0,0,0,0
7.812663,0,0,0,0
7.828975,0,0,0,0
7.845541,0,0,0,0
7.862781,0,0,0,0
7.878815,0,0,0,0
7.895241,0,0,0,0
7.911851,0,0,0,0
7.928375,0,0,0,0
7.944942,0,0,0,0
7.961796,0,0,0,0
