ElapsedTime,Class1,Class2,Class3,Class4,BestClass
40.3779,79.20846,78.0657,68.72837,67.83112,3
40.39446,79.20846,78.0657,68.72837,67.83112,3
40.41194,79.20846,78.0657,68.72837,67.83112,3
40.42816,79.20846,78.0657,68.72837,67.83112,3
40.44501,79.20846,78.0657,68.72837,67.83112,3
40.46207,79.20846,78.0657,68.72837,67.83112,3
40.4787,79.20846,78.0657,68.72837,67.83112,3
40.49555,79.20846,78.0657,68.72837,67.83112,3
40.5124,79.20846,78.0657,68.72837,67.83112,3
40.52936,79.20846,78.0657,68.72837,67.83112,3
40.54646,79.20846,78.0657,68.72837,67.83112,3
40.56508,66.48653,65.3443,62.87063,68.35201,2
40.58193,66.48653,65.3443,62.87063,68.35201,2
40.59878,66.48653,65.3443,62.87063,68.35201,2
40.61563,66.48653,65.3443,62.87063,68.35201,2
40.63248,66.48653,65.3443,62.87063,68.35201,2
40.64981,66.48653,65.3443,62.87063,68.35201,2
40.66618,66.48653,65.3443,62.87063,68.35201,2
40.68303,66.48653,65.3443,62.87063,68.35201,2
40.69988,66.48653,65.3443,62.87063,68.35201,2
40.71698,66.48653,65.3443,62.87063,68.35201,2
40.73407,66.48653,65.3443,62.87063,68.35201,2
40.75097,66.48653,65.3443,62.87063,68.35201,2
40.76727,66.48653,65.3443,62.87063,68.35201,2
40.78412,66.48653,65.3443,62.87063,68.35201,2
40.80109,66.48653,65.3443,62.87063,68.35201,2
40.81782,66.48653,65.3443,62.87063,68.35201,2
40.83525,66.48653,65.3443,62.87063,68.35201,2
40.85152,66.48653,65.3443,62.87063,68.35201,2
40.86837,66.48653,65.3443,62.87063,68.35201,2
40.88524,66.48653,65.3443,62.87063,68.35201,2
40.90257,66.48653,65.3443,62.87063,68.35201,2
40.91962,66.48653,65.3443,62.87063,68.35201,2
40.93666,66.48653,65.3443,62.87063,68.35201,2
40.95268,66.48653,65.3443,62.87063,68.35201,2
40.96969,66.48653,65.3443,62.87063,68.35201,2
40.98674,66.48653,65.3443,62.87063,68.35201,2
41.00316,66.48653,65.3443,62.87063,68.35201,2
41.02001,66.48653,65.3443,62.87063,68.35201,2
41.03686,66.48653,65.3443,62.87063,68.35201,2
41.05371,66.48653,65.3443,62.87063,68.35201,2
41.07082,66.48653,65.3443,62.87063,68.35201,2
41.08781,66.48653,65.3443,62.87063,68.35201,2
41.10497,66.48653,65.3443,62.87063,68.35201,2
41.12193,66.48653,65.3443,62.87063,68.35201,2
41.13807,66.48653,65.3443,62.87063,68.35201,2
41.15508,66.48653,65.3443,62.87063,68.35201,2
41.17223,66.48653,65.3443,62.87063,68.35201,2
41.18925,66.48653,65.3443,62.87063,68.35201,2
41.20535,66.48653,65.3443,62.87063,68.35201,2
